Id,ReportedDate,AmendDate,Tradeid,Book,BookOwner,Amender,Supervisor,ISIN,TradeDate,SettlementDate,Action,SettDateChange,BookChange,CPartyChange,MultiAmend,PnL,Counterparty,Desk,Quantity,Price,BS
1,29/03/2018,31/03/2018,PO43565532,BD202,Liam Payne,Mick Jones,Liam Gallagher,BKD,31/03/2018,05/04/2018,Amend,N,N,N,N,0,MCXXXX,LONLONG,44449,3342,S
2,24/03/2018,27/03/2018,KP79377038,STK350,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,NERV,26/03/2018,15/04/2018,Amend,N,N,Y,N,-100000,DD14ET6,LONMID,86970,2997,S
3,14/03/2018,14/03/2018,IE48974453,STK20,Louis Tomlinson,Adele Adkins,Paul Arthurs,NVEC,07/03/2018,27/03/2018,Cancel,N,Y,Y,Y,0,TY00TYO,LONLONG,35600,4790,S
4,27/03/2018,30/03/2018,KI74104842,NY422,Louis Tomlinson,Mick Jones,Paul Arthurs,XPLR,23/03/2018,28/03/2018,Amend,N,N,Y,N,-500000,LON9005,LONMID,25818,2864,B
5,15/03/2018,16/03/2018,EV11327855,BD202,Liam Payne,Niall Horan,Liam Gallagher,PKO,16/03/2018,01/04/2018,Cancel,Y,Y,Y,N,1000,CIP23223,LONLONG,60176,1838,S
6,15/02/2018,15/02/2018,QC55606047,FUT500,Louis Tomlinson,James Cordan,Paul Arthurs,MSF,07/02/2018,11/02/2018,Amend,Y,N,N,N,-500000,MCXXXX,LONMID,97696,3288,S
7,04/02/2018,06/02/2018,NK97394318,FUT500,Louis Tomlinson,Liam Payne,Paul Arthurs,VIVE,28/01/2018,04/02/2018,Cancel,N,N,N,N,-600,LON5076F,LONLONG,82407,3003,B
8,23/03/2018,24/03/2018,PW66453877,LN202,Niall Horan,Liam Payne,Liam Gallagher,LTXB,15/03/2018,23/03/2018,Amend,N,Y,N,N,-2500,GOXXX90,LONMID,65773,1387,B
9,18/02/2018,19/02/2018,LO48207355,LN202,Niall Horan,Adele Adkins,Liam Gallagher,SYX,16/02/2018,28/02/2018,Cancel,N,N,N,Y,-100000,LON9005,LONLONG,82066,3512,S
10,21/03/2018,24/03/2018,LU37917912,LN202,Niall Horan,Liam Payne,Liam Gallagher,KNL,17/03/2018,30/03/2018,Amend,N,Y,N,N,500,TY00TYO,LONMID,26865,3340,S
11,18/03/2018,20/03/2018,GA35024520,STK350,Louis Tomlinson,Adele Adkins,Paul Arthurs,PFM,10/03/2018,21/03/2018,Amend,N,Y,N,Y,700,DD14ET6,LONLONG,49904,431,S
